Time,Fp1,Fp2,F3,F4,C3,C4,P3,P4
0.0,-0.00018989256286621093,-0.00014184568786621094,-0.00010737303924560547,2.846679878234863e-05,-0.00010844725799560547,-3.6474609375e-05,-7.3583984375e-05,0.000173486328125
0.002,-0.00018041990661621092,-0.00013735350036621092,-0.00010004882049560546,3.2275390624999996e-05,-0.00010336913299560546,-3.3642578125e-05,-6.9384765625e-05,0.00017709960937499998
0.004,-0.00016699217224121093,-0.00013505857849121093,-0.00010576171112060547,3.5351562499999996e-05,-0.00010195311737060547,-2.98828125e-05,-6.796874237060547e-05,0.00018007812499999998
0.006,-0.00016020506286621092,-0.00013295896911621094,-0.00010532225799560546,3.8037109375e-05,-9.975585174560547e-05,-2.7099607467651366e-05,-6.586913299560547e-05,0.000183349609375
0.008,-0.00015932615661621094,-0.00012446288299560547,-0.00010415038299560547,4.1162109375e-05,-9.848632049560547e-05,-2.4462890625e-05,-6.479491424560547e-05,0.000184619140625
0.01,-0.00015429685974121092,-0.00011582030487060546,-9.736327362060546e-05,5.1171874999999995e-05,-8.974609375e-05,-1.3281251907348632e-05,-5.5468749999999996e-05,0.00019501953125
0.012,-0.00017109373474121092,-0.00012607421112060545,-0.00010478514862060547,4.570312118530273e-05,-9.716796112060547e-05,-1.6992189407348634e-05,-6.220703124999999e-05,0.00018876953125
0.014,-0.00018354490661621093,-0.00013432615661621093,-0.00011645507049560547,3.9306640625e-05,-0.00010424803924560546,-2.5439451217651365e-05,-7.006835174560547e-05,0.000181201171875
0.016,-0.00018154295349121093,-0.00013642576599121094,-0.00012197264862060546,3.408203125e-05,-0.00010761717987060547,-3.1249998092651366e-05,-7.402342987060547e-05,0.0001775390625
0.018,-0.00017592771911621093,-0.00013305662536621093,-0.00011557616424560546,3.9208984375e-05,-0.00010395507049560546,-2.5048826217651364e-05,-6.889647674560546e-05,0.00018325195312499998
0.02,-0.00018969725036621093,-0.00014047850036621093,-0.00011850585174560546,3.2470703125e-05,-0.00011040038299560546,-3.1689451217651365e-05,-7.534178924560547e-05,0.000176904296875
0.022,-0.00018422850036621093,-0.00013159178161621093,-0.00010717772674560546,3.5986328125e-05,-0.00010385741424560546,-2.9443359375e-05,-6.928710174560546e-05,0.00017954101562499999
0.024,-0.00016933592224121092,-0.00011533202362060546,-9.648436737060546e-05,4.9999999999999996e-05,-9.404296112060547e-05,-1.77734375e-05,-6.054686737060547e-05,0.00018896484374999998
0.026,-0.00016137693786621093,-0.00010971678924560547,-9.291991424560546e-05,5.8154296875e-05,-8.842772674560547e-05,-1.0693361282348633e-05,-5.5517578125e-05,0.000196142578125
0.028,-0.00017836912536621093,-0.00012583007049560545,-0.00010161132049560546,4.6337890625e-05,-9.5166015625e-05,-1.9677736282348633e-05,-6.333007812499999e-05,0.000187646484375
0.03,-0.00017592771911621093,-0.00013393553161621094,-0.00010922850799560547,4.3603515624999995e-05,-9.692382049560547e-05,-1.8701169967651366e-05,-6.225585174560546e-05,0.00018920898437499998
0.032,-0.00016899412536621093,-0.00013911131286621094,-0.00011606444549560546,3.8427734374999996e-05,-0.00010571288299560546,-2.3388669967651368e-05,-6.958007049560547e-05,0.000183642578125
0.034,-0.00016777342224121093,-0.00013554685974121093,-0.00011191405487060547,3.4374999999999995e-05,-0.00011259764862060546,-2.9296873092651368e-05,-7.792967987060547e-05,0.00017626953125
0.036,-0.00017768553161621092,-0.00013413084411621092,-0.00011547850799560547,2.954101753234863e-05,-0.00011665038299560546,-3.3544921875e-05,-8.198241424560547e-05,0.00017094726562499998
0.038,-0.00018315428161621092,-0.00013588865661621092,-0.00012211913299560546,3.4326171875e-05,-0.00011069335174560547,-2.8759765624999997e-05,-7.485350799560547e-05,0.000177685546875
0.04,-0.00018281248474121093,-0.00013828123474121093,-0.00011660155487060547,3.837890625e-05,-0.00010488280487060547,-2.6855466842651365e-05,-7.226561737060547e-05,0.00017958984374999998
0.042,-0.00017080076599121092,-0.00012705077362060545,-9.726561737060547e-05,4.755859375e-05,-9.580077362060547e-05,-1.796875190734863e-05,-6.552734374999999e-05,0.0001869140625
0.044,-0.00016572264099121094,-0.00012236327362060546,-9.501952362060546e-05,4.941405868530273e-05,-9.609374237060546e-05,-1.5136720657348633e-05,-6.2890625e-05,0.00019052734375
0.046,-0.00016503904724121093,-0.00012314452362060545,-9.541014862060547e-05,4.9316402435302734e-05,-9.501952362060546e-05,-1.6503908157348633e-05,-6.044921875e-05,0.0001908203125
0.048,-0.00017783201599121093,-0.00012685546112060548,-0.00010898436737060547,4.072265625e-05,-0.00010517577362060546,-2.6953123092651365e-05,-7.099608612060546e-05,0.00017958984374999998
0.05,-0.00017656248474121094,-0.00012070311737060546,-0.00010957030487060547,4.23828125e-05,-0.00010537108612060547,-2.4999998092651366e-05,-7.089842987060546e-05,0.00018007812499999998
0.052,-0.00017895506286621092,-0.00012690428924560547,-0.00011235350799560546,3.7255859374999996e-05,-0.00010961913299560546,-2.8173826217651366e-05,-7.358397674560546e-05,0.000178173828125
0.054,-0.00018442381286621094,-0.00013198240661621094,-0.00011323241424560546,3.090820503234863e-05,-0.00011440428924560546,-3.3642578125e-05,-7.924803924560546e-05,0.00017270507812499998
0.056,-0.00017875975036621094,-0.00013120115661621092,-0.00011069335174560547,3.5107425689697265e-05,-0.00011342772674560546,-2.9931638717651365e-05,-8.051757049560547e-05,0.000174755859375
0.058,-0.00016748045349121094,-0.00012470702362060547,-0.00010546874237060546,4.53125e-05,-0.00010449217987060546,-1.972656440734863e-05,-7.12890625e-05,0.00018525390624999998
0.06,-0.00017470701599121093,-0.00013681639099121092,-0.00011474608612060547,4.111328506469726e-05,-0.00011025389862060546,-2.4999998092651366e-05,-7.675780487060546e-05,0.00018203124999999998
0.062,-0.00018378904724121093,-0.00013349607849121094,-0.00011445311737060546,4.0332031249999997e-05,-0.00010478514862060547,-2.5097654342651366e-05,-7.060546112060546e-05,0.00018369140625
0.064,-0.00019086912536621093,-0.00011977538299560547,-0.00010698241424560547,4.1357421875e-05,-0.00010063475799560546,-2.2509763717651366e-05,-6.528319549560547e-05,0.000186572265625
0.066,-0.00018217771911621094,-0.00010952147674560546,-0.00010483397674560546,4.6435546874999995e-05,-9.458007049560547e-05,-1.7431638717651366e-05,-5.961913299560547e-05,0.000192724609375
0.068,-0.00017480467224121094,-0.00011005858612060547,-0.00010908202362060547,4.248046875e-05,-9.941405487060546e-05,-2.0507812499999998e-05,-6.445311737060546e-05,0.00018916015624999998
0.07,-0.00016166990661621092,-0.00010893553924560546,-0.00010561522674560547,4.6044921875e-05,-9.497069549560546e-05,-1.3232419967651366e-05,-5.7177726745605466e-05,0.000195947265625
0.072,-0.00016269529724121092,-0.00011376952362060547,-0.00010283202362060547,5.3808589935302734e-05,-9.218749237060546e-05,-6.0546903610229486e-06,-5.3027343749999994e-05,0.00020175781249999998
0.074,-0.00016972654724121093,-0.00011005858612060547,-0.00010507811737060546,5.703124618530273e-05,-9.238280487060546e-05,-5.566408634185791e-06,-5.439453125e-05,0.00020224609374999998
0.076,-0.00017636717224121093,-0.00010781249237060546,-0.00010771483612060547,5.390625e-05,-9.648436737060546e-05,-1.0351564407348633e-05,-5.9179687499999994e-05,0.0001974609375
0.078,-0.00016782225036621092,-0.00010375975799560546,-0.00010034178924560547,5.5712890625e-05,-9.370116424560547e-05,-7.177736282348633e-06,-5.7666015625e-05,0.000200439453125
0.08,-0.00015893553161621093,-0.00011313475799560547,-0.00010161132049560546,5.0927734374999995e-05,-9.545897674560546e-05,-1.2060548782348633e-05,-6.0205078124999997e-05,0.00019584960937499998
0.082,-0.00015839842224121093,-0.00011044921112060547,-0.00010478514862060547,5.2636718749999997e-05,-9.306639862060547e-05,-1.0644533157348633e-05,-5.8496093749999995e-05,0.00019736328125
0.084,-0.00016318357849121092,-0.00010781249237060546,-0.00010468749237060546,5.5175781249999995e-05,-9.062499237060547e-05,-8.789064407348632e-06,-5.419921875e-05,0.0001986328125
0.086,-0.00016152342224121094,-0.00010429686737060547,-0.00010644530487060546,5.576171493530273e-05,-8.710936737060546e-05,-7.421877861022949e-06,-4.94140625e-05,0.00020166015625
0.088,-0.00016035154724121093,-0.00010400389862060546,-0.00010351561737060546,5.52734375e-05,-8.681639862060547e-05,-8.203126907348633e-06,-4.912109375e-05,0.00020224609374999998
0.09,-0.00015815428161621093,-9.760741424560546e-05,-9.790038299560547e-05,6.606444549560546e-05,-8.178710174560547e-05,2.490232467651367e-06,-4.2919921874999996e-05,0.000210791015625
0.092,-0.00017333982849121094,-0.00010966796112060546,-0.00010449217987060546,5.8496093749999995e-05,-9.042967987060546e-05,-2.9296891689300534e-06,-5.0976558685302734e-05,0.00020400390625
0.094,-0.00018354490661621093,-0.00011674803924560546,-0.00011166991424560547,4.9853515625e-05,-9.965819549560546e-05,-1.3134767532348632e-05,-6.245116806030274e-05,0.000194189453125
0.096,-0.00018593748474121094,-0.00011845702362060547,-0.00011953124237060547,4.35546875e-05,-0.00010478514862060547,-1.923828125e-05,-6.835937499999999e-05,0.0001884765625
0.098,-0.00018266600036621092,-0.00011704100799560546,-0.00011372069549560546,4.6533203125e-05,-9.995116424560546e-05,-1.6748048782348633e-05,-6.254882431030273e-05,0.000191259765625
0.1,-0.00018520506286621093,-0.00012836912536621093,-0.00011381835174560546,3.8916015625e-05,-0.00010258788299560547,-2.338867378234863e-05,-6.5771484375e-05,0.00018520507812499999
0.102,-0.00017812498474121093,-0.00012431639862060546,-0.00010732421112060546,4.2871093749999995e-05,-9.833984375e-05,-2.138672065734863e-05,-6.455078124999999e-05,0.000184375
0.104,-0.00016552732849121093,-0.00011376952362060547,-9.277342987060546e-05,5.8007812499999995e-05,-8.5546875e-05,-9.277345657348633e-06,-5.488280868530273e-05,0.000194921875
0.106,-0.00015781248474121094,-0.00011171874237060546,-8.974608612060547e-05,6.513671112060547e-05,-7.734374999999999e-05,-1.953126788139343e-06,-4.472655868530273e-05,0.00020458984375
0.108,-0.00016582029724121093,-0.00011787108612060546,-9.960936737060547e-05,5.390625e-05,-8.173828125e-05,-1.0839845657348632e-05,-4.8437496185302736e-05,0.0001966796875
0.11,-0.00016416014099121092,-0.00011650389862060546,-9.970702362060547e-05,4.98046875e-05,-8.26171875e-05,-1.2597658157348633e-05,-4.833983993530273e-05,0.0001955078125
0.112,-0.00017788084411621093,-0.00011567382049560546,-0.00010170897674560547,4.7900390624999996e-05,-9.0087890625e-05,-1.4892580032348633e-05,-5.659179306030273e-05,0.000192822265625
0.114,-0.00017890623474121092,-0.00011337889862060547,-0.00010380858612060547,4.462890625e-05,-9.541015625e-05,-1.8359375e-05,-6.337890243530273e-05,0.00018964843749999998
0.116,-0.00017475584411621092,-0.00011235350799560546,-0.00010698241424560547,4.0966796875e-05,-9.790039062499999e-05,-2.153320503234863e-05,-6.665039062499999e-05,0.000185791015625
0.118,-0.00017060545349121094,-0.00011269530487060546,-0.00010253905487060547,4.62890625e-05,-9.394530487060547e-05,-1.6015626907348633e-05,-6.0937496185302734e-05,0.00019140624999999998
0.12,-0.00016801756286621093,-0.00011069335174560547,-9.829100799560546e-05,5.1416015624999996e-05,-8.764647674560547e-05,-1.1474611282348633e-05,-5.473632431030273e-05,0.00019731445312499998
0.122,-0.00016020506286621092,-0.00010532225799560546,-8.920897674560546e-05,6.118163681030273e-05,-7.5927734375e-05,-4.833985805511475e-06,-4.4873043060302735e-05,0.000204833984375
0.124,-0.00015717771911621093,-0.00010893553924560546,-9.311522674560547e-05,6.108398056030273e-05,-7.6708984375e-05,-3.5644545555114744e-06,-4.379882431030273e-05,0.00020444335937499998
0.126,-0.00016318357849121092,-0.00011416014862060546,-0.00010009764862060547,5.341796875e-05,-8.671874237060546e-05,7.812485694885253e-07,-5.400390243530273e-05,0.0002013671875
0.128,-0.00017827146911621094,-0.00012709960174560548,-0.00010786132049560547,4.5263671874999995e-05,-9.985350799560547e-05,-2.0019540786743163e-06,-6.665039062499999e-05,0.000192431640625
0.13,-0.00016357420349121093,-0.00011425780487060547,-8.720702362060547e-05,5.722655868530273e-05,-8.22265625e-05,-1.2109376907348633e-05,-5.136718368530273e-05,0.00019619140625
0.132,-0.00015507810974121092,-0.00011249999237060546,-8.203124999999999e-05,5.64453125e-05,-7.773437499999999e-05,-1.89453125e-05,-4.804687118530273e-05,0.00019511718749999998
0.134,-0.00015810545349121094,-0.00011660155487060547,-8.759765625e-05,5.5664062499999995e-05,-8.1640625e-05,-1.9140625e-05,-5.0683593749999995e-05,0.0001955078125
0.136,-0.00015576170349121092,-0.00011054686737060547,-9.140624237060546e-05,6.1328125e-05,-7.636718749999999e-05,-1.201171875e-05,-4.589843368530273e-05,0.00019921875
0.138,-0.00014394529724121092,-9.785155487060546e-05,-7.099609375e-05,7.070311737060547e-05,-6.738281249999999e-05,1.9531106948852539e-07,-4.003905868530273e-05,0.00020712890624999998
0.14,-0.00015087889099121092,-9.921874237060547e-05,-7.753905487060546e-05,6.914061737060546e-05,-7.1484375e-05,-3.906264305114746e-07,-4.4824214935302734e-05,0.00020566406249999998
0.142,-0.00014985350036621092,-9.692382049560547e-05,-8.286132049560547e-05,7.075194549560546e-05,-6.850585937499999e-05,1.6113264560699463e-06,-4.1748043060302734e-05,0.000209423828125
0.144,-0.00015200193786621093,-9.418944549560547e-05,-7.934569549560546e-05,7.055663299560547e-05,-6.4990234375e-05,3.466795206069946e-06,-3.627929306030273e-05,0.00021381835937499998
0.146,-0.00015903318786621094,-9.506835174560547e-05,-7.221678924560546e-05,7.055663299560547e-05,-6.235351181030273e-05,3.857422113418579e-06,-3.432616806030273e-05,0.000214111328125
0.148,-0.00017187498474121094,-0.00011054686737060547,-8.076171112060547e-05,6.640624237060547e-05,-6.923828124999999e-05,-1.0742204189300536e-06,-4.208983993530273e-05,0.00020810546874999998
0.15,-0.00015800779724121092,-0.00011123046112060546,-8.408202362060547e-05,6.884764862060547e-05,-6.728515625e-05,3.320310592651367e-06,-3.857421875e-05,0.0002119140625
0.152,-0.00014799803161621094,-0.00010717772674560546,-8.120116424560546e-05,7.016600799560547e-05,-6.4013671875e-05,7.373044967651367e-06,-3.344726181030273e-05,0.00021430664062499998
0.154,-0.00014184568786621094,-9.956053924560546e-05,-7.739257049560546e-05,7.182616424560547e-05,-6.0693355560302734e-05,7.568358421325683e-06,-3.149413681030273e-05,0.000214697265625
0.156,-0.00014082029724121094,-0.00010527342987060547,-8.017577362060547e-05,7.207030487060547e-05,-6.689453124999999e-05,6.640624046325683e-06,-3.769530868530273e-05,0.00021025390625
0.158,-0.00014121092224121093,-0.00011669921112060547,-8.085936737060546e-05,7.246092987060546e-05,-6.865233612060546e-05,8.007810592651368e-06,-3.925780868530273e-05,0.00020966796875
0.16,-0.00014985350036621092,-0.00011762694549560546,-8.618163299560547e-05,6.411132049560546e-05,-7.4365234375e-05,-7.324228286743163e-07,-4.526366806030273e-05,0.000203857421875
0.162,-0.00015180662536621093,-0.00010122069549560547,-8.325194549560547e-05,6.274413681030273e-05,-7.1728515625e-05,-1.7089853286743164e-06,-4.165038681030273e-05,0.00020815429687499998
0.164,-0.00014775389099121094,-0.00010361327362060546,-8.164061737060547e-05,6.582030487060546e-05,-7.01171875e-05,8.789045810699462e-07,-4.0332027435302734e-05,0.00021044921875
0.166,-0.00014892576599121092,-0.00011035155487060546,-7.841796112060547e-05,6.640624999999999e-05,-6.62109375e-05,1.660154342651367e-06,-3.80859375e-05,0.00021279296874999998
0.168,-0.00014648435974121094,-0.00010654296112060546,-7.509764862060547e-05,6.484374237060546e-05,-6.142577743530273e-05,5.761716842651367e-06,-3.203124618530273e-05,0.00021904296875
0.17,-0.00013056639099121093,-9.765624237060547e-05,-7.197264862060546e-05,7.382811737060546e-05,-5.498046493530273e-05,1.7675779342651367e-05,-2.3046873092651365e-05,0.0002296875
0.172,-0.00014262693786621093,-0.00010083007049560547,-7.885741424560546e-05,7.016600799560547e-05,-6.127928924560546e-05,1.6064451217651368e-05,-2.7001951217651366e-05,0.000226904296875
0.174,-0.00015541990661621094,-9.467772674560547e-05,-8.325194549560547e-05,6.928710174560546e-05,-6.6064453125e-05,6.494139194488525e-06,-3.2568355560302735e-05,0.00021577148437499998
0.176,-0.00015639646911621094,-9.458007049560547e-05,-9.204100799560546e-05,6.635741424560547e-05,-7.0751953125e-05,4.345701694488526e-06,-3.881835556030273e-05,0.00020981445312499999
0.178,-0.00015668943786621093,-0.00010629882049560546,-9.243163299560546e-05,6.196288681030274e-05,-7.319335174560546e-05,1.6357419967651366e-05,-4.184569931030273e-05,0.00021401367187499998
0.18,-0.00016347654724121094,-0.00011767577362060546,-9.189452362060546e-05,5.6640624999999996e-05,-7.607421112060547e-05,1.1914060592651366e-05,-4.47265625e-05,0.00021259765624999998
0.182,-0.00015556639099121092,-0.00010810546112060547,-8.056639862060546e-05,6.71875e-05,-6.416015625e-05,-9.765625e-07,-3.359375e-05,0.00021474609374999998
0.184,-0.00014648435974121094,-0.00010283202362060547,-7.099608612060546e-05,7.714842987060546e-05,-5.7617183685302734e-05,7.6171875e-06,-2.5390623092651367e-05,0.0002220703125
0.186,-0.00014555662536621094,-0.000103857421875,-6.459960174560546e-05,7.778319549560546e-05,-5.375976181030273e-05,1.0693359375e-05,-2.3291013717651365e-05,0.00022563476562499998
0.188,-0.00016420896911621094,-0.00011450194549560547,-8.178710174560547e-05,6.469725799560546e-05,-6.274413681030273e-05,1.5136728286743163e-06,-3.3251949310302734e-05,0.00021625976562499998
0.19,-0.00015751951599121092,-0.00011660155487060547,-9.003905487060546e-05,6.308593368530273e-05,-6.923828124999999e-05,1.9531240463256835e-06,-3.6132808685302735e-05,0.0002146484375
0.192,-0.00015639646911621094,-0.00012875975036621094,-9.604491424560547e-05,5.5517574310302735e-05,-7.6513671875e-05,-3.7597665786743162e-06,-4.125976181030273e-05,0.000209228515625
