Time,C3,C4,P3,P4,PO3,PO4,O1,O2
0.00,2.33,6.92,14.18,21.10,22.84,15.64,14.22,2.22
4.00,4.83,12.27,17.53,21.42,20.96,15.84,9.34,-1.69
8.00,6.79,15.64,18.05,20.75,17.51,10.35,3.21,-5.45
12.00,10.61,13.99,17.85,18.26,14.91,7.59,1.53,-8.96
16.00,10.71,18.95,18.77,14.14,12.24,2.06,-5.32,-7.61
20.00,13.92,18.66,18.40,13.76,9.72,-1.14,-6.39,-10.04
24.00,15.03,16.52,13.76,12.27,6.05,-0.88,-6.43,-11.22
28.00,16.46,13.98,14.29,7.52,-0.13,-5.55,-10.77,-12.15
32.00,14.88,15.47,8.66,3.74,-1.71,-8.82,-10.57,-11.98
36.00,15.98,13.34,9.74,-0.59,-6.02,-8.17,-9.58,-5.82
40.00,12.75,11.24,5.56,0.66,-5.64,-9.79,-8.93,-7.43
44.00,10.43,5.56,1.37,-4.96,-9.79,-7.18,-6.36,-1.61
48.00,10.74,3.41,-2.23,-6.99,-5.66,-7.94,-5.41,-0.78
52.00,5.58,1.61,-3.76,-4.21,-7.87,-6.66,-2.08,2.43
56.00,6.02,-1.43,-3.95,-7.53,-7.24,-5.41,1.19,6.50
60.00,3.34,-1.52,-6.72,-7.41,-2.86,-2.42,4.02,6.85
64.00,-0.14,-2.71,-4.95,-3.62,-1.77,0.78,7.95,8.11
68.00,-4.50,-3.49,-4.60,-5.30,2.35,1.92,9.06,10.76
72.00,-4.60,-6.73,-2.58,-3.27,0.17,7.01,10.68,9.75
76.00,-3.50,-6.66,-1.69,-1.70,3.90,5.88,9.94,5.21
80.00,-5.15,-4.02,-1.93,1.86,7.83,9.17,5.96,6.41
84.00,-1.65,0.09,1.15,4.85,8.37,6.87,6.96,2.64
88.00,-4.89,1.66,1.88,7.91,6.39,10.21,4.21,-0.85
92.00,0.45,0.86,6.68,7.00,7.56,7.82,3.40,-3.47
96.00,0.87,4.54,8.97,7.85,9.41,4.65,0.26,-9.53
100.00,3.71,5.94,8.73,7.62,6.33,1.44,-5.71,-10.19
104.00,5.68,6.77,6.68,5.72,2.13,-2.57,-7.00,-11.90
108.00,4.43,8.08,7.00,7.46,3.99,-2.95,-13.46,-16.41
112.00,6.35,9.49,9.56,2.45,-1.05,-9.59,-15.32,-15.12
116.00,6.91,9.18,7.51,2.44,-3.43,-10.44,-14.39,-18.61
120.00,8.92,6.71,2.99,-1.98,-7.83,-11.48,-14.99,-15.03
124.00,9.56,7.37,2.77,-5.12,-9.76,-13.63,-17.98,-13.48
128.00,9.44,5.48,-1.63,-5.33,-14.88,-14.50,-15.11,-10.87
132.00,5.23,2.78,-4.40,-8.60,-11.97,-14.61,-11.75,-6.38
136.00,3.37,-1.43,-8.64,-13.69,-15.64,-17.58,-10.78,-2.17
140.00,3.27,-2.03,-11.14,-11.12,-15.03,-14.45,-8.88,1.65
144.00,0.16,-8.18,-12.61,-12.96,-15.79,-10.54,-0.82,6.70
148.00,-2.13,-9.55,-11.20,-15.83,-13.45,-4.98,3.36,12.46
152.00,-4.52,-8.35,-15.04,-13.50,-10.97,-1.01,4.87,18.77
156.00,-6.37,-13.24,-13.00,-12.65,-4.82,0.13,14.13,20.28
160.00,-10.66,-13.46,-14.44,-9.45,-3.96,7.38,15.39,24.02
164.00,-9.39,-10.88,-9.88,-6.81,3.20,12.51,22.93,27.04
168.00,-13.31,-10.90,-11.12,-5.39,3.26,14.38,22.26,29.30
172.00,-14.25,-12.99,-8.96,0.53,8.74,19.38,27.52,29.50
176.00,-13.96,-8.35,-5.66,3.88,12.68,22.32,26.39,31.32
180.00,-9.08,-5.53,1.00,9.78,20.38,25.26,27.28,26.23
184.00,-7.62,-5.29,6.58,12.69,22.43,27.79,29.21,23.79
188.00,-5.70,0.76,6.58,14.88,21.94,27.49,25.44,21.77
192.00,-3.77,2.37,10.80,19.76,25.00,26.91,24.89,18.88
196.00,-0.11,7.57,15.25,21.08,26.15,23.60,21.12,14.45
200.00,2.20,10.91,17.11,24.63,25.90,20.88,14.52,8.51
204.00,6.33,14.40,18.42,23.67,22.58,20.33,13.84,3.82
208.00,11.22,17.90,20.63,25.67,19.28,15.98,9.07,1.21
212.00,14.98,20.50,21.19,23.14,17.29,12.94,3.35,-1.56
216.00,16.12,21.09,23.75,19.69,15.71,7.12,-0.86,-5.94
220.00,16.57,22.67,23.15,17.39,9.29,5.58,-3.86,-8.17
