Time,C3,C4,P3,P4,PO3,PO4,O1,O2
0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0
0.00390625,-49.609375,-49.4140625,-49.21875,-49.53125,-49.609375,-49.4140625,-49.21875,-49.53125
0.0078125,-49.21875,-48.828125,-48.4375,-49.0625,-49.21875,-48.828125,-48.4375,-49.0625
0.01171875,-48.828125,-48.2421875,-47.65625,-48.59375,-48.828125,-48.2421875,-47.65625,-48.59375
0.015625,-48.4375,-47.65625,-46.875,-48.125,-48.4375,-47.65625,-46.875,-48.125
0.01953125,-48.046875,-47.0703125,-46.09375,-47.65625,-48.046875,-47.0703125,-46.09375,-47.65625
0.0234375,-47.65625,-46.484375,-45.3125,-47.1875,-47.65625,-46.484375,-45.3125,-47.1875
0.02734375,-47.265625,-45.8984375,-44.53125,-46.71875,-47.265625,-45.8984375,-44.53125,-46.71875
0.03125,-46.875,-45.3125,-43.75,-46.25,-46.875,-45.3125,-43.75,-46.25
0.03515625,-46.484375,-44.7265625,-42.96875,-45.78125,-46.484375,-44.7265625,-42.96875,-45.78125
0.0390625,-46.09375,-44.140625,-42.1875,-45.3125,-46.09375,-44.140625,-42.1875,-45.3125
0.04296875,-45.703125,-43.5546875,-41.40625,-44.84375,-45.703125,-43.5546875,-41.40625,-44.84375
0.046875,-45.3125,-42.96875,-40.625,-44.375,-45.3125,-42.96875,-40.625,-44.375
0.05078125,-44.921875,-42.3828125,-39.84375,-43.90625,-44.921875,-42.3828125,-39.84375,-43.90625
0.0546875,-44.53125,-41.796875,-39.0625,-43.4375,-44.53125,-41.796875,-39.0625,-43.4375
0.05859375,-44.140625,-41.2109375,-38.28125,-42.96875,-44.140625,-41.2109375,-38.28125,-42.96875
0.0625,-43.75,-40.625,-37.5,-42.5,-43.75,-40.625,-37.5,-42.5
0.06640625,-43.359375,-40.0390625,-36.71875,-42.03125,-43.359375,-40.0390625,-36.71875,-42.03125
0.0703125,-42.96875,-39.453125,-35.9375,-41.5625,-42.96875,-39.453125,-35.9375,-41.5625
0.07421875,-42.578125,-38.8671875,-35.15625,-41.09375,-42.578125,-38.8671875,-35.15625,-41.09375
0.078125,-42.1875,-38.28125,-34.375,-40.625,-42.1875,-38.28125,-34.375,-40.625
0.08203125,-41.796875,-37.6953125,-33.59375,-40.15625,-41.796875,-37.6953125,-33.59375,-40.15625
0.0859375,-41.40625,-37.109375,-32.8125,-39.6875,-41.40625,-37.109375,-32.8125,-39.6875
0.08984375,-41.015625,-36.5234375,-32.03125,-39.21875,-41.015625,-36.5234375,-32.03125,-39.21875
0.09375,-40.625,-35.9375,-31.25,-38.75,-40.625,-35.9375,-31.25,-38.75
0.09765625,-40.234375,-35.3515625,-30.46875,-38.28125,-40.234375,-35.3515625,-30.46875,-38.28125
0.1015625,-39.84375,-34.765625,-29.6875,-37.8125,-39.84375,-34.765625,-29.6875,-37.8125
0.10546875,-39.453125,-34.1796875,-28.90625,-37.34375,-39.453125,-34.1796875,-28.90625,-37.34375
0.109375,-39.0625,-33.59375,-28.125,-36.875,-39.0625,-33.59375,-28.125,-36.875
