Time,C3,C4,P3,P4,PO3,PO4,O1,O2
0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.00390625,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.0078125,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.01171875,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.015625,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.01953125,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.0234375,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.02734375,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.03125,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.03515625,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.0390625,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.04296875,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.046875,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.05078125,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.0546875,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.05859375,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.0625,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.06640625,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.0703125,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.07421875,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.078125,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.08203125,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.0859375,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.08984375,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.09375,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.09765625,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.1015625,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.10546875,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.109375,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.11328125,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.1171875,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.12109375,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.125,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.12890625,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.1328125,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.13671875,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.140625,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.14453125,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.1484375,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.15234375,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.15625,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.16015625,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.1640625,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
0.16796875,50.0,-50.0,50.0,50.0,50.0,-50.0,50.0,50.0
0.171875,50.0,-50.0,50.0,50.0,50.0,-50.0,50.0,50.0
0.17578125,50.0,-50.0,50.0,50.0,50.0,-50.0,50.0,50.0
0.1796875,50.0,-50.0,50.0,50.0,50.0,-50.0,50.0,50.0
0.18359375,50.0,-50.0,50.0,50.0,50.0,-50.0,50.0,50.0
0.1875,50.0,-50.0,50.0,50.0,50.0,-50.0,50.0,50.0
0.19140625,50.0,-50.0,50.0,50.0,50.0,-50.0,50.0,50.0
0.1953125,50.0,-50.0,50.0,50.0,50.0,-50.0,50.0,50.0
0.19921875,50.0,-50.0,50.0,50.0,50.0,-50.0,50.0,50.0
0.203125,50.0,-50.0,-50.0,50.0,50.0,-50.0,-50.0,50.0
0.20703125,50.0,-50.0,-50.0,50.0,50.0,-50.0,-50.0,50.0
0.2109375,50.0,-50.0,-50.0,50.0,50.0,-50.0,-50.0,50.0
0.21484375,50.0,-50.0,-50.0,50.0,50.0,-50.0,-50.0,50.0
0.21875,50.0,-50.0,-50.0,50.0,50.0,-50.0,-50.0,50.0
0.22265625,50.0,-50.0,-50.0,50.0,50.0,-50.0,-50.0,50.0
0.2265625,50.0,-50.0,-50.0,50.0,50.0,-50.0,-50.0,50.0
0.23046875,50.0,-50.0,-50.0,50.0,50.0,-50.0,-50.0,50.0
0.234375,50.0,-50.0,-50.0,50.0,50.0,-50.0,-50.0,50.0
0.23828125,50.0,-50.0,-50.0,50.0,50.0,-50.0,-50.0,50.0
0.2421875,50.0,-50.0,-50.0,50.0,50.0,-50.0,-50.0,50.0
0.24609375,50.0,-50.0,-50.0,50.0,50.0,-50.0,-50.0,50.0
0.25,-50.0,-50.0,-50.0,50.0,-50.0,-50.0,-50.0,50.0
0.25390625,-50.0,-50.0,-50.0,50.0,-50.0,-50.0,-50.0,50.0
0.2578125,-50.0,-50.0,-50.0,50.0,-50.0,-50.0,-50.0,50.0
